"date","datatype","station_id","value","fl_c"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",1,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",854,"C"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",8,"S"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",739,"C"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",41,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",569,"C"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",99,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",406,"C"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",247,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",123,"S"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",264,"S"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",119,"C"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",161,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",335,"C"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",44,"S"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",717,"C"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",2,"S"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",1349,"C"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353402",-7777,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353402",1332,"S"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",-7777,"C"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",1024,"S"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",3,"C"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",804,"S"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",16,"C"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",808,"C"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",62,"C"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",693,"S"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",170,"C"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",571,"S"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",289,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",412,"S"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",471,"S"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",131,"S"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",488,"C"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",141,"S"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",343,"S"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",358,"S"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",123,"C"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",653,"C"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",12,"C"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",1119,"C"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00353770",-7777,"S"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00353770",1115,"S"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",6,"Q"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",618,"Q"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",4,"Q"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",460,"Q"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",26,"Q"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",482,"Q"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",82,"Q"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",430,"Q"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",222,"Q"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",317,"Q"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",358,"Q"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",229,"Q"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",547,"Q"
"2010-07-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",101,"Q"
"2010-08-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",581,"Q"
"2010-08-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",76,"Q"
"2010-09-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",425,"Q"
"2010-09-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",202,"Q"
"2010-10-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",149,"Q"
"2010-10-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",432,"Q"
"2010-11-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",22,"Q"
"2010-11-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",704,"Q"
"2010-12-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00355681",5,"Q"
"2010-12-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00355681",690,"Q"
"2010-01-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",7,"C"
"2010-01-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",678,"R"
"2010-02-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",15,"C"
